"ID" "species"
864 "Kuzinellus neosoleiger"
865 "Kuzinellus niloticus"
866 "Kuzinellus obsis"
867 "Kuzinellus operantis"
868 "Kuzinellus palitans"
869 "Kuzinellus parvus"
870 "Kuzinellus prunusus"
872 "Kuzinellus rarotonga"
873 "Kuzinellus relentus"
874 "Kuzinellus reticulatus"
875 "Kuzinellus saharae"
876 "Kuzinellus sarcina"
878 "Kuzinellus sennarensis"
879 "Kuzinellus sentus"
880 "Kuzinellus sursum"
881 "Kuzinellus tigamiaensis"
882 "Kuzinellus torulosus"
883 "Kuzinellus trisetus"
884 "Kuzinellus vitreus"
885 "Kuzinellus wentzeli"
886 "Kuzinellus yokogawae"
887 "Leonseius elbanhawyi"
889 "Macrocaudus multisetatus"
891 "Maunaseius volcanus"
892 "Metadromips banksiae"
893 "Metaseiulus bakeri"
894 "Metaseiulus luculentis"
895 "Metaseiulus serratus"
898 "Metaseiulus arceuthobius"
899 "Metaseiulus bidentatus"
900 "Metaseiulus bisoni"
901 "Metaseiulus brevicollis"
902 "Metaseiulus bromus"
906 "Metaseiulus gramina"
907 "Metaseiulus greeneae"
909 "Metaseiulus johnsoni"
910 "Metaseiulus juniperi"
911 "Metaseiulus juniperoides"
912 "Metaseiulus lindquisti"
913 "Metaseiulus mahri"
914 "Metaseiulus mexicanus"
915 "Metaseiulus negundinis"
916 "Metaseiulus nelsoni"
918 "Metaseiulus neosmithi"
920 "Metaseiulus parabrevicollis"
921 "Metaseiulus paraflumenis"
922 "Metaseiulus pedoni"
924 "Metaseiulus plumipilis"
927 "Metaseiulus profitai"
928 "Metaseiulus relictus"
929 "Metaseiulus sikorai"
930 "Metaseiulus smithi"
931 "Metaseiulus tuttlei"
932 "Metaseiulus valentii"
934 "Meyerius agrostidis"
935 "Meyerius chaetopus"
936 "Meyerius citimus"
937 "Meyerius collativus"
938 "Meyerius convallis"
939 "Meyerius egregius"
940 "Meyerius fistella"
941 "Meyerius heindrichi"
942 "Meyerius immutatus"
943 "Meyerius incisus"
944 "Meyerius keetchi"
945 "Meyerius latus"
946 "Meyerius liliaceus"
947 "Meyerius litus"
948 "Meyerius maritimus"
949 "Meyerius veretillum"
950 "Meyerius waltheriae"
951 "Meyerius zantedeschiae"
953 "Neoparaphytoseius caatinga"
954 "Neoparaphytoseius charapa"
955 "Neoparaphytoseius moraesi"
956 "Neoparaphytoseius sooretamus"
958 "Neoseiulella arinoi"
960 "Neoseiulella arutunjani"
961 "Neoseiulella ashleyae"
962 "Neoseiulella canariensis"
963 "Neoseiulella carmeli"
964 "Neoseiulella cassiniae"
965 "Neoseiulella celtis"
966 "Neoseiulella compta"
968 "Neoseiulella corrugata"
969 "Neoseiulella cottieri"
970 "Neoseiulella crassipilis"
975 "Neoseiulella elongata"
976 "Neoseiulella ferraguti"
979 "Neoseiulella montforti"
980 "Neoseiulella muscari"
981 "Neoseiulella myopori"
982 "Neoseiulella neoviniferae"
984 "Neoseiulella oleariae"
985 "Neoseiulella paralias"
986 "Neoseiulella perforata"
987 "Neoseiulella vollsella"
988 "Neoseiulella runiacus"
989 "Neoseiulella sexapori"
990 "Neoseiulella spaini"
991 "Neoseiulella splendida"
992 "Neoseiulella steeli"
994 "Neoseiulella tuberculata"
995 "Amblyseius basiniformis"
996 "Neoseiulus accessus"
997 "Neoseiulus aceria"
998 "Neoseiulus aegyptocitri"
1001 "Neoseiulus aleurites"
1002 "Neoseiulus alidis"
1003 "Neoseiulus agrafioticus"
1004 "Neoseiulus allenrolfius"
1006 "Neoseiulus alustoni"
1008 "Neoseiulus angeliquae"
1009 "Neoseiulus angolaensis"
1011 "Neoseiulus apeuthus"
1012 "Neoseiulus apkutik"
1013 "Neoseiulus arenarius"
1014 "Neoseiulus arenillus"
1015 "Neoseiulus argentinus"
1016 "Neoseiulus argillaceus"
1017 "Neoseiulus aridus"
1018 "Neoseiulus aristotelisi"
1019 "Neoseiulus arundonaxi"
1020 "Neoseiulus arutunjani"
1021 "Neoseiulus asperisetatus"
1022 "Neoseiulus astutus"
1024 "Neoseiulus atsak"
1025 "Neoseiulus australograminis"
1026 "Neoseiulus badalingensis"
1027 "Neoseiulus baichengensis"
1028 "Neoseiulus balios"
1029 "Neoseiulus balisungsongus"
1031 "Neoseiulus Barkeri"
1033 "Neoseiulus baticola"
1035 "Neoseiulus beihaiensis"
1037 "Neoseiulus benicus"
1039 "Neoseiulus bennetti"
1040 "Neoseiulus bheraensis"
1043 "Neoseiulus indicus"
1044 "Neoseiulus brevicalix"
1045 "Neoseiulus brevispinus"
1048 "Neoseiulus byssus"
1051 "Neoseiulus calorai"
1052 "Neoseiulus camarus"
1053 "Neoseiulus specus"
1054 "Neoseiulus spicatus"
1055 "Neoseiulus spineus"
1056 "Neoseiulus sporobolus"
1057 "Neoseiulus spuma"
1059 "Neoseiulus stolidus"
1060 "Neoseiulus striatus"
1061 "Neoseiulus subreticulatus"
1062 "Neoseiulus subrotundus"
1064 "Neoseiulus marginatus"
1065 "Neoseiulus sugonjaevi"
1066 "Neoseiulus swartii"
1067 "Neoseiulus tabis"
1068 "Neoseiulus tabularis"
1069 "Neoseiulus tainia"
1070 "Neoseiulus taiwanicus"
1071 "Neoseiulus tappani"
1072 "Neoseiulus tarapacensis"
1073 "Neoseiulus tardus"
1074 "Neoseiulus tareensis"
1075 "Neoseiulus tauricus"
1076 "Neoseiulus tekeleius"
1077 "Neoseiulus tenuisetae"
1081 "Neoseiulus thymeleae"
1082 "Neoseiulus tibielingmiut"
1083 "Neoseiulus tienhsainensis"
1084 "Neoseiulus tobirus"
1085 "Neoseiulus tobon"
1086 "Neoseiulus tornadus"
1087 "Neoseiulus transversus"
1088 "Neoseiulus triangularis"
1090 "Neoseiulus tshernovi"
1091 "Neoseiulus tubus"
1093 "Neoseiulus turangae"
1094 "Neoseiulus turpis"
1095 "Neoseiulus tuttlei"
1096 "Neoseiulus kennetti"
1097 "Neoseiulus ulatei"
1098 "Neoseiulus uliginosus"
1101 "Neoseiulus uvidus"
1103 "Neoseiulus vallis"
1104 "Neoseiulus vanderlindei"
1106 "Neoseiulus vaseformis"
1108 "Neoseiulus vehementis"
1109 "Neoseiulus veigai"
1110 "Neoseiulus venustus"
1111 "Neoseiulus viticolus"
1113 "Neoseiulus warrum"
1115 "Neoseiulus xiaomenensis"
1116 "Neoseiulus xizangensis"
1117 "Neoseiulus yanineki"
1118 "Neoseiulus yanoi"
1119 "Neoseiulus yolo"
1120 "Neoseiulus yonganensis"
1121 "Neoseiulus yumus"
1122 "Neoseiulus zaheri"
1123 "Okiseius alniseius"
1124 "Okiseius changbaiensis"
1125 "Okiseius chinensis"
1127 "Okiseius eharai"
1128 "Okiseius formosanus"
1129 "Okiseius himalayana"
1130 "Okiseius jainticus"
1131 "Okiseius juglandis"
1132 "Okiseius laaensis"
1133 "Okiseius maritimus"
1134 "Okiseius morenoi"
1137 "Okiseius sikkimensis"
1139 "Okiseius tibetagramins"
1141 "Okiseius unisetatus"
1142 "Okiseius wongi"
1143 "Okiseius yazuliensis"
1146 "Olpiseius perthae"
1147 "Papuaseius dominiquae"
1148 "Paraamblyseiulella transmontanus"
