"species_search"	"decimalLongitude"	"decimalLatitude"
"Amblyseius herbicolus"	-25.84353	37.84502
"Amblyseius herbicolus"	-25.5827	37.81513
"Amblyseius herbicolus"	-25.58261	37.81964
"Amblyseius herbicolus"	145.47	-17.27
"Amblyseius herbicolus"	145.47	-17.27
"Amblyseius herbicolus"	145.47	-17.27
"Amblyseius herbicolus"	152.95	-26.45
"Amblyseius herbicolus"	107.52	-7.13
"Amblyseius herbicolus"	146.72	-7.33
"Amblyseius herbicolus"	146.72	-7.33
"Amblyseius herbicolus"	146.72	-7.33
"Amblyseius herbicolus"	146.72	-7.33
"Amblyseius herbicolus"	146.72	-7.33
"Amblyseius herbicolus"	146.72	-7.33
"Amblyseius herbicolus"	-61.53977	16.19759
"Amblyseius herbicolus"	-47.6282033	-22.7087729
"Amblyseius herbicolus"	-47.6421044	-22.7085719
"Amblyseius herbicolus"	55.53241	-21.13317
"Amblyseius herbicolus"	-61.53977	16.19759
"Amblyseius herbicolus"	55.53241	-21.13317
"Amblyseius herbicolus"	55.53241	-21.13317
"Amblyseius herbicolus"	-61.53977	16.19759
"Amblyseius largoensis"	-61.683334	16.166666
"Amblyseius largoensis"	-61.59203	16.25165
"Amblyseius largoensis"	130.902	-12.4383
"Amblyseius largoensis"	130.902	-12.4383
"Amblyseius largoensis"	150.5	-24.4
"Amblyseius largoensis"	152.2	-24.55
"Amblyseius largoensis"	130.8	-12.47
"Amblyseius largoensis"	130.8	-12.47
"Amblyseius largoensis"	130.8	-12.47
"Amblyseius largoensis"	130.87	-12.45
"Amblyseius largoensis"	130.8	-12.47
"Amblyseius largoensis"	138.6	-34.93
"Amblyseius largoensis"	-80.33	27.45
"Amblyseius largoensis"	-64.75	32.3
"Amblyseius largoensis"	123.11	14.08
"Amblyseius largoensis"	123.11	14.08
"Amblyseius largoensis"	55.53241	-21.13317
"Amblyseius largoensis"	-61.53977	16.19759
"Amblyseius largoensis"	-61.53977	16.19759
"Amblyseius largoensis"	45.14743	-12.8206
"Amblyseius largoensis"	55.53241	-21.13317
"Amblyseius largoensis"	-61.53977	16.19759
"Amblyseius largoensis"	-53.23477	3.92404
"Amblyseius largoensis"	-61.53977	16.19759
"Amblyseius largoensis"	93	10
"Amblyseius largoensis"	-61.53977	16.19759
"Amblyseius largoensis"	45.14743	-12.8206
"Amblyseius largoensis"	-53.23477	3.92404
"Amblyseius largoensis"	-61.53977	16.19759
"Amblyseius largoensis"	55.53241	-21.13317
"Amblyseius largoensis"	104.691	38.0733
"Amblyseius largoensis"	104.691	38.0733
"Amblyseius largoensis"	104.691	38.0733
"Amblyseius largoensis"	104.691	38.0733
"Amblyseius anacardii"	-61.39968	10.63945
